"","Year","JuvPollock_Biomass","AdultPollock_Biomass","JuvATF_Biomass","AdultATF_Biomass","JuvPollock_BiomassConsBy_JuvATF","JuvPollock_BiomassConsBy_AdultATF","AdultPollock_BiomassConsBy_JuvATF","AdultPollock_BiomassConsBy_AdultATF"
"1",1977,606671.459102745,2771070.12865067,90863.7916149162,1381462.26968905,438.804268671844,231543.641626223,0,307675.098820481
"2",1978,641486.031359088,3538767.61510199,104927.794385956,1354180.47934479,541.206282534575,232360.719633946,0,401467.968590638
"3",1979,1129632.00741476,4481344.39406641,121320.512447936,1357704.04701021,1105.16549839085,381437.091261564,0,450852.190778383
"4",1980,577854.797467181,6133048.25129424,103082.212247243,1395045.42671474,479.54084220794,198680.98812127,0,609873.032481478
"5",1981,371789.748126655,7353937.24998209,81656.3391187654,1415217.82211242,254.08085194461,141371.768156821,0,651917.160460094
"6",1982,341368.875086712,7334096.95338344,76430.1785175,1401687.48347432,186.603717231646,118516.329095628,0,437487.922874474
"7",1983,238690.850334423,6940120.88375945,79629.1146256258,1377703.18625124,144.353567141616,92994.563504455,0,413944.444851915
"8",1984,481832.998505724,6125418.58018502,123940.565226708,1347687.15769439,447.096837032464,182313.13247579,0,327852.325056424
"9",1985,755668.677120833,5459799.36138051,273336.722691305,1379630.90429781,1542.18005891752,275987.99702455,0,288003.368596507
"10",1986,240183.547841827,5523613.00666278,157822.726576837,1627382.6531611,284.22343790327,95301.7159228922,0,412563.153704063
"11",1987,75420.696175173,5368750.16861138,151310.434474035,1749266.38350863,88.4375357738481,34311.8805053288,0,383620.123233326
"12",1988,236810.896093589,4894829.10125162,213590.82665487,1836482.86526855,361.84651117611,110212.179288621,0,253767.168391811
"13",1989,645118.319563648,4502928.80308982,159487.289400751,1996982.94107605,674.399735517746,303977.425586423,0,223925.35255875
"14",1990,710981.511615689,4723915.42241119,136434.467468086,2085704.7539969,636.406936452026,346116.178822084,0,348874.862274187
"15",1991,351945.075168406,5112939.0588101,206546.015650447,2115866.01199409,538.254971779828,206453.450769659,0,528476.355751741
"16",1992,237036.305926733,4813708.22347931,161762.887337046,2200607.51170913,251.946542822366,132388.38148659,0,364479.806601126
"17",1993,155412.107452923,4548099.89735106,112125.892387326,2221757.07740698,111.225107751005,86679.4279212605,0,303609.318681837
"18",1994,132060.926812914,3905291.91482433,121129.132748529,2163222.53094944,102.272464037967,73764.8614749341,0,232458.482126223
"19",1995,474639.011983619,3296950.22711494,129291.919503156,2094542.27510627,388.913293686538,252308.5398864,0,181965.026100656
"20",1996,203070.909105888,3064311.97931302,130526.896883307,2041403.62386513,176.009890247654,110759.4000047,0,251534.797730762
"21",1997,80443.2225057295,2896569.97746156,188726.413821274,1986056.65690229,103.007172062716,42848.4906052235,0,279926.866920322
"22",1998,79932.4984875712,2695558.24140823,244677.582545949,2022722.43251202,143.55580845414,45585.7491412102,0,251094.725443872
"23",1999,72370.445391267,2128626.29264812,180684.341974923,2147971.70754353,89.403567830301,38995.8312078452,0,170313.727889213
"24",2000,299031.913224735,1968329.3520673,382684.888932938,2204045.32597625,783.538526077154,161321.357928571,0,149127.384593802
"25",2001,390507.06634015,2120330.10569031,126568.17871273,2527623.88161658,334.380575453633,226504.064105246,0,218880.713867417
"26",2002,78931.3075893642,2611820.59720004,176556.613796846,2532915.5069853,88.6478490146035,46210.2399609355,0,341848.368752008
"27",2003,96629.4575059323,2586527.25623498,172228.78827509,2564589.98528604,109.068742802361,62515.0500335589,0,304785.790177651
"28",2004,66465.5304656927,2171223.75287364,200220.099972773,2561481.98453502,81.2032863325239,43529.2388422603,0,180804.600131417
"29",2005,124997.441038762,1846060.64661699,185288.186167131,2593278.18087366,143.525732390938,82882.1741004908,0,137495.691721805
"30",2006,346888.884805888,1735850.62320729,183762.954321956,2586178.12862003,398.473244229996,222669.506918156,0,148853.656840049
"31",2007,270096.386807808,1974985.06776151,109833.346200031,2560694.90403556,182.158609961231,164529.288824439,0,267854.648470844
"32",2008,318602.809289458,2549130.48387604,139165.041885926,2437366.14943918,279.752092573282,187752.617036365,0,410065.741228444
"33",2009,139934.283736552,3517797.59455707,89839.0876777989,2342400.40572693,77.9195616286996,76684.1876780816,0,568141.160161545
"34",2010,65504.2726590544,3479654.4167016,94801.6816369894,2193914.44171385,42.5169818538855,38885.7943566746,0,531989.188409404
"35",2011,225306.606926419,3040965.03931064,133351.077160324,2045371.70564962,201.34591792402,121412.211739199,0,330610.972185915
"36",2012,38421.9045738373,3214133.60929607,123657.211111036,1956898.98753332,31.869657023805,19499.0886706661,0,377519.956058072
"37",2013,1082420.02129695,2789347.8241714,128903.531890425,1886340.14036735,957.962942510249,483677.941299452,0,241352.67251777
"38",2014,109035.505656403,6102555.15785534,97362.7695844422,1837992.30716814,82.5199559476713,46380.3099653882,0,1118289.28622121
"39",2015,4110.82428446572,5624850.9888004,95514.3342437732,1751466.17198516,3.18959337543367,1980.44634986939,0,831044.523870112
"40",2016,604.050136573868,5559875.42599755,119138.732845027,1682662.44786408,0.55521115686533,289.168280657473,0,519959.301460955
"41",2017,114785.816141218,4271125.17925849,134386.7618963,1651176.12777511,114.613464710662,53410.3660406953,0,286012.946162909
"42",2018,419718.132278676,3311072.3364734,146221.511556317,1645574.60467761,474.282958400723,196017.208423181,0,205076.833011652
"43",2019,384370.391646376,3006410.08026846,83839.1184148339,1674873.75670602,245.122695139958,172359.472019604,0,260122.889721557
"44",2020,18722.0777492376,3133879.59374207,111043.035238558,1624448.74375997,15.8401546542952,8607.46765600847,0,311413.102288913
"45",2021,471698.192839951,2895675.50465522,117930.975798215,1606931.23288922,420.991312373352,213232.134082958,0,216305.172593473
"46",2022,2832.18800913104,3272137.77378581,117569.918943802,1614573.18707935,2.53022819058822,1316.62127962911,0,363946.817874879
"47",2023,62.0400841148568,2925956.89518406,120327.450147805,1620556.5987033,0.0563392157660597,29.2425910992489,0,238069.229060702
"48",2024,329670.754840603,2251038.90868713,147352.115623104,1633050.71213324,364.809939956944,154002.834846235,0,125871.409320005
"49",2025,329670.754840603,2544175.69049365,147352.115623104,1691069.68721852,366.38018367201,153046.44234508,0,261434.834303524
"50",2026,329670.754840603,2957463.98175363,147352.115623104,1752271.4363244,364.371935409718,153420.255204482,0,346546.963335716
"51",2027,329670.754840603,3227469.2443551,147352.115623104,1812261.10226843,359.547370591036,155529.283306125,0,383697.983961856
"52",2028,329670.754840603,3570697.95402219,147352.115623104,1868669.01584537,353.077929613016,159175.496263875,0,403726.860908675
"53",2029,329670.754840603,3791214.49201008,147352.115623104,1919041.94900412,347.432458732426,162818.471078428,0,417166.739307538
"54",2030,329670.754840603,3919098.03018312,147352.115623104,1961577.57992552,342.5281177556,166215.019781838,0,419162.923452057
"55",2031,329670.754840603,3992627.49222024,147352.115623104,1995470.4844318,338.886818987565,168712.815347316,0,420620.214735932
"56",2032,329670.754840603,3988656.61381532,147352.115623104,2021029.46938258,336.58047404116,170485.365038634,0,422879.308963609
"57",2033,329670.754840603,3942669.70117862,147352.115623104,2039468.45862482,335.27751246922,171654.635756328,0,424036.029867178
"58",2034,329670.754840603,3875003.34308594,147352.115623104,2051720.80108648,334.730860819999,172377.031918907,0,425187.674837991
"59",2035,329670.754840603,3800315.97387341,147352.115623104,2059416.35476136,334.826317130671,172661.695958912,0,426108.828994755
"60",2036,329670.754840603,3729555.20608735,147352.115623104,2064156.03514528,335.214508057178,172758.137962732,0,427653.45806072
"61",2037,329670.754840603,3667966.90456457,147352.115623104,2066889.76306661,335.75656765615,172738.173050423,0,429669.335240284
"62",2038,329670.754840603,3617815.00029204,147352.115623104,2068308.57585487,336.331326491004,172694.011709942,0,431963.976155973
"63",2039,329670.754840603,3579114.96460506,147352.115623104,2068623.74735655,336.886604438152,172654.797730553,0,433367.178892258
"64",2040,329670.754840603,3551543.26986768,147352.115623104,2068926.30054032,337.402518569379,172631.657033272,0,435291.941939246
"65",2041,329670.754840603,3533060.05506306,147352.115623104,2069204.74007012,337.85908396887,172638.332519145,0,437196.263749367
"66",2042,329670.754840603,3521848.93661423,147352.115623104,2069523.59355367,338.241959333795,172684.804019762,0,438764.352870411
"67",2043,329670.754840603,3516295.78016365,147352.115623104,2069979.27599833,338.560895282472,172759.34544201,0,440108.347455626
"68",2044,329670.754840603,3514942.08694834,147352.115623104,2070686.97519078,338.824648645486,172851.546711006,0,441468.385448201
"69",2045,329670.754840603,3516419.8936617,147352.115623104,2071419.33252679,339.035756308846,172957.159666175,0,442612.704753102
"70",2046,329670.754840603,3519771.77709616,147352.115623104,2072179.62025532,339.202629690386,173068.021950431,0,443594.698812738
"71",2047,329670.754840603,3524237.55563908,147352.115623104,2072949.23842774,339.332997108889,173177.804967488,0,444444.006817176
"72",2048,329670.754840603,3529243.16748158,147352.115623104,2073705.13831089,339.43406094637,173281.700724797,0,445181.018546951
"73",2049,329670.754840603,3534376.21774417,147352.115623104,2074428.35640719,339.512017061334,173376.642726881,0,445823.643330592
"74",2050,329670.754840603,3539355.5715799,147352.115623104,2075104.46729865,339.571905235151,173460.958877396,0,446385.239278882
