"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",1980,4.1209984321891
"Bottom","no","ssp126","Mean temp Feb to April",1981,3.43723874258903
"Bottom","no","ssp126","Mean temp Feb to April",1982,4.39060004169268
"Bottom","no","ssp126","Mean temp Feb to April",1983,4.08724286199123
"Bottom","no","ssp126","Mean temp Feb to April",1984,4.14297453019555
"Bottom","no","ssp126","Mean temp Feb to April",1985,3.58351606640016
"Bottom","no","ssp126","Mean temp Feb to April",1986,3.9152824058417
"Bottom","no","ssp126","Mean temp Feb to April",1987,3.82123892752303
"Bottom","no","ssp126","Mean temp Feb to April",1988,2.96612836361668
"Bottom","no","ssp126","Mean temp Feb to April",1989,4.1129177823488
"Bottom","no","ssp126","Mean temp Feb to April",1990,2.61642932429123
"Bottom","no","ssp126","Mean temp Feb to April",1991,2.96241506327827
"Bottom","no","ssp126","Mean temp Feb to April",1992,3.384422244662
"Bottom","no","ssp126","Mean temp Feb to April",1993,2.10761832000183
"Bottom","no","ssp126","Mean temp Feb to April",1994,3.09945377165997
"Bottom","no","ssp126","Mean temp Feb to April",1995,2.97727440907165
"Bottom","no","ssp126","Mean temp Feb to April",1996,2.2940419301722
"Bottom","no","ssp126","Mean temp Feb to April",1997,2.88268766121716
"Bottom","no","ssp126","Mean temp Feb to April",1998,4.78419760916357
"Bottom","no","ssp126","Mean temp Feb to April",1999,2.51731536249386
"Bottom","no","ssp126","Mean temp Feb to April",2000,4.69289659891464
"Bottom","no","ssp126","Mean temp Feb to April",2001,4.33297298621322
"Bottom","no","ssp126","Mean temp Feb to April",2002,5.05575818636698
"Bottom","no","ssp126","Mean temp Feb to April",2003,4.36109540294988
"Bottom","no","ssp126","Mean temp Feb to April",2004,5.00357949167929
"Bottom","no","ssp126","Mean temp Feb to April",2005,3.86319757978283
"Bottom","no","ssp126","Mean temp Feb to April",2006,3.99373239804327
"Bottom","no","ssp126","Mean temp Feb to April",2007,3.47788597394913
"Bottom","no","ssp126","Mean temp Feb to April",2008,2.54789679509402
"Bottom","no","ssp126","Mean temp Feb to April",2009,4.03210334632192
"Bottom","no","ssp126","Mean temp Feb to April",2010,4.3372929954271
"Bottom","no","ssp126","Mean temp Feb to April",2011,4.60557464205286
"Bottom","no","ssp126","Mean temp Feb to April",2012,4.66158082903471
"Bottom","no","ssp126","Mean temp Feb to April",2013,4.52717885240817
"Bottom","no","ssp126","Mean temp Feb to April",2014,3.07509990745161
"Bottom","no","ssp126","Mean temp Feb to April",2015,2.49982417429641
"Bottom","no","ssp126","Mean temp Feb to April",2016,2.45553539320915
"Bottom","no","ssp126","Mean temp Feb to April",2017,5.92488450277599
"Bottom","no","ssp126","Mean temp Feb to April",2018,3.20303616987555
"Bottom","no","ssp126","Mean temp Feb to April",2019,3.78066213787698
"Bottom","no","ssp126","Mean temp Feb to April",2020,4.47248185032185
"Bottom","no","ssp126","Mean temp Feb to April",2021,4.74064624338521
"Bottom","no","ssp126","Mean temp Feb to April",2022,2.91215644522254
"Bottom","no","ssp126","Mean temp Feb to April",2023,1.86925591796564
"Bottom","no","ssp126","Mean temp Feb to April",2024,2.78148119316525
"Bottom","no","ssp126","Mean temp Feb to April",2025,3.3106509008338
"Bottom","no","ssp126","Mean temp Feb to April",2026,6.0842665993551
"Bottom","no","ssp126","Mean temp Feb to April",2027,5.44302631304684
"Bottom","no","ssp126","Mean temp Feb to April",2028,4.20243935702558
"Bottom","no","ssp126","Mean temp Feb to April",2029,5.57355506788221
"Bottom","no","ssp126","Mean temp Feb to April",2030,5.808381428745
"Bottom","no","ssp126","Mean temp Feb to April",2031,6.11324776704208
"Bottom","no","ssp126","Mean temp Feb to April",2032,4.11652487794379
"Bottom","no","ssp126","Mean temp Feb to April",2033,4.88566648099313
"Bottom","no","ssp126","Mean temp Feb to April",2034,3.85555918777058
"Bottom","no","ssp126","Mean temp Feb to April",2035,4.69593951152537
"Bottom","no","ssp126","Mean temp Feb to April",2036,3.91434998425906
"Bottom","no","ssp126","Mean temp Feb to April",2037,4.9840646115331
"Bottom","no","ssp126","Mean temp Feb to April",2038,5.18663565707002
"Bottom","no","ssp126","Mean temp Feb to April",2039,4.88594548069678
"Bottom","no","ssp126","Mean temp Feb to April",2040,4.6010874670842
"Bottom","no","ssp126","Mean temp Feb to April",2041,5.53242853301824
"Bottom","no","ssp126","Mean temp Feb to April",2042,6.31510173697268
"Bottom","no","ssp126","Mean temp Feb to April",2043,6.10858636413592
"Bottom","no","ssp126","Mean temp Feb to April",2044,3.78419223270083
"Bottom","no","ssp126","Mean temp Feb to April",2045,5.17256912951002
"Bottom","no","ssp126","Mean temp Feb to April",2046,5.82112189178802
"Bottom","no","ssp126","Mean temp Feb to April",2047,5.43219885683898
"Bottom","no","ssp126","Mean temp Feb to April",2048,5.18122314501979
"Bottom","no","ssp126","Mean temp Feb to April",2049,4.67573721999454
"Bottom","no","ssp126","Mean temp Feb to April",2050,5.60351824905024
"Bottom","no","ssp126","Mean temp Feb to April",2051,4.44740867727963
"Bottom","no","ssp126","Mean temp Feb to April",2052,6.37351420153505
"Bottom","no","ssp126","Mean temp Feb to April",2053,5.17796588239072
"Bottom","no","ssp126","Mean temp Feb to April",2054,4.70948675540932
"Bottom","no","ssp126","Mean temp Feb to April",2055,5.71219099460387
"Bottom","no","ssp126","Mean temp Feb to April",2056,5.79705630120653
"Bottom","no","ssp126","Mean temp Feb to April",2057,4.74400322697827
"Bottom","no","ssp126","Mean temp Feb to April",2058,5.53588416145943
"Bottom","no","ssp126","Mean temp Feb to April",2059,5.84731168483445
"Bottom","no","ssp126","Mean temp Feb to April",2060,4.54792070858409
"Bottom","no","ssp126","Mean temp Feb to April",2061,6.42373760784752
"Bottom","no","ssp126","Mean temp Feb to April",2062,5.891167690759
"Bottom","no","ssp126","Mean temp Feb to April",2063,4.80528614342636
"Bottom","no","ssp126","Mean temp Feb to April",2064,4.48323800314621
"Bottom","no","ssp126","Mean temp Feb to April",2065,4.60914638537242
"Bottom","no","ssp126","Mean temp Feb to April",2066,4.90111528622028
"Bottom","no","ssp126","Mean temp Feb to April",2067,5.31562889329781
"Bottom","no","ssp126","Mean temp Feb to April",2068,5.30551286672457
"Bottom","no","ssp126","Mean temp Feb to April",2069,4.98233297151021
"Bottom","no","ssp126","Mean temp Feb to April",2070,5.36089430385929
"Bottom","no","ssp126","Mean temp Feb to April",2071,3.9366931641207
"Bottom","no","ssp126","Mean temp Feb to April",2072,5.73886053004775
"Bottom","no","ssp126","Mean temp Feb to April",2073,4.80150748899268
"Bottom","no","ssp126","Mean temp Feb to April",2074,6.28503785919751
"Bottom","no","ssp126","Mean temp Feb to April",2075,5.80576295033674
"Bottom","no","ssp126","Mean temp Feb to April",2076,4.38553558780905
"Bottom","no","ssp126","Mean temp Feb to April",2077,4.20163290568136
"Bottom","no","ssp126","Mean temp Feb to April",2078,4.69577846822038
"Bottom","no","ssp126","Mean temp Feb to April",2079,4.10279387839074
"Bottom","no","ssp126","Mean temp Feb to April",2080,5.52901906238107
"Bottom","no","ssp126","Mean temp Feb to April",2081,5.15067816155572
"Bottom","no","ssp126","Mean temp Feb to April",2082,5.92340807408763
"Bottom","no","ssp126","Mean temp Feb to April",2083,6.40390397463558
"Bottom","no","ssp126","Mean temp Feb to April",2084,3.9403572317704
"Bottom","no","ssp126","Mean temp Feb to April",2085,3.4894764808005
"Bottom","no","ssp126","Mean temp Feb to April",2086,4.32299125042587
"Bottom","no","ssp126","Mean temp Feb to April",2087,5.04951298230198
"Bottom","no","ssp126","Mean temp Feb to April",2088,5.02200853507373
"Bottom","no","ssp126","Mean temp Feb to April",2089,5.6434112677677
"Bottom","no","ssp126","Mean temp Feb to April",2090,5.70998934799333
"Bottom","no","ssp126","Mean temp Feb to April",2091,4.76261704535389
"Bottom","no","ssp126","Mean temp Feb to April",2092,4.7002786301449
"Bottom","no","ssp126","Mean temp Feb to April",2093,5.99102499595301
"Bottom","no","ssp126","Mean temp Feb to April",2094,5.43643787809354
"Bottom","no","ssp126","Mean temp Feb to April",2095,5.14382343704884
"Bottom","no","ssp126","Mean temp Feb to April",2096,4.8709834319917
"Bottom","no","ssp126","Mean temp Feb to April",2097,6.03255196982558
"Bottom","no","ssp126","Mean temp Feb to April",2098,5.88849249776987
"Bottom","no","ssp126","Mean temp Feb to April",2099,5.52270358514921
"Bottom","yes","ssp126","Mean temp Feb to April",1980,4.1209984321891
"Bottom","yes","ssp126","Mean temp Feb to April",1981,3.43723874258903
"Bottom","yes","ssp126","Mean temp Feb to April",1982,4.39060004169268
"Bottom","yes","ssp126","Mean temp Feb to April",1983,4.08724286199123
"Bottom","yes","ssp126","Mean temp Feb to April",1984,4.14297453019555
"Bottom","yes","ssp126","Mean temp Feb to April",1985,3.58351606640016
"Bottom","yes","ssp126","Mean temp Feb to April",1986,3.9152824058417
"Bottom","yes","ssp126","Mean temp Feb to April",1987,3.82123892752303
"Bottom","yes","ssp126","Mean temp Feb to April",1988,2.96612836361668
"Bottom","yes","ssp126","Mean temp Feb to April",1989,4.1129177823488
"Bottom","yes","ssp126","Mean temp Feb to April",1990,2.4878686406643
"Bottom","yes","ssp126","Mean temp Feb to April",1991,3.12916529413684
"Bottom","yes","ssp126","Mean temp Feb to April",1992,3.86529210245651
"Bottom","yes","ssp126","Mean temp Feb to April",1993,3.66171537694808
"Bottom","yes","ssp126","Mean temp Feb to April",1994,3.76950240911288
"Bottom","yes","ssp126","Mean temp Feb to April",1995,3.35656103188593
"Bottom","yes","ssp126","Mean temp Feb to April",1996,3.92291336582451
"Bottom","yes","ssp126","Mean temp Feb to April",1997,3.85739942997014
"Bottom","yes","ssp126","Mean temp Feb to April",1998,4.90563164784032
"Bottom","yes","ssp126","Mean temp Feb to April",1999,3.42642075458686
"Bottom","yes","ssp126","Mean temp Feb to April",2000,3.81845401353792
"Bottom","yes","ssp126","Mean temp Feb to April",2001,4.95214785651549
"Bottom","yes","ssp126","Mean temp Feb to April",2002,4.01095171748365
"Bottom","yes","ssp126","Mean temp Feb to April",2003,5.573423692689
"Bottom","yes","ssp126","Mean temp Feb to April",2004,4.32282279602999
"Bottom","yes","ssp126","Mean temp Feb to April",2005,4.77387465200423
"Bottom","yes","ssp126","Mean temp Feb to April",2006,4.13074931304868
"Bottom","yes","ssp126","Mean temp Feb to April",2007,3.20621818356875
"Bottom","yes","ssp126","Mean temp Feb to April",2008,3.57241804281511
"Bottom","yes","ssp126","Mean temp Feb to April",2009,3.53446667727047
"Bottom","yes","ssp126","Mean temp Feb to April",2010,4.58115578560527
"Bottom","yes","ssp126","Mean temp Feb to April",2011,3.77438706104134
"Bottom","yes","ssp126","Mean temp Feb to April",2012,3.11784179356669
"Bottom","yes","ssp126","Mean temp Feb to April",2013,4.25467765984948
"Bottom","yes","ssp126","Mean temp Feb to April",2014,4.94425674066355
"Bottom","yes","ssp126","Mean temp Feb to April",2015,5.85654645029415
"Bottom","yes","ssp126","Mean temp Feb to April",2016,6.04712113089941
"Bottom","yes","ssp126","Mean temp Feb to April",2017,4.61427153746352
"Bottom","yes","ssp126","Mean temp Feb to April",2018,5.0589071972679
"Bottom","yes","ssp126","Mean temp Feb to April",2019,5.89084473448796
"Bottom","yes","ssp126","Mean temp Feb to April",2020,4.1740560818724
"Bottom","yes","ssp126","Mean temp Feb to April",2021,4.74064624338521
"Bottom","yes","ssp126","Mean temp Feb to April",2022,2.91215644522254
"Bottom","yes","ssp126","Mean temp Feb to April",2023,1.86925591796564
"Bottom","yes","ssp126","Mean temp Feb to April",2024,2.78148119316525
"Bottom","yes","ssp126","Mean temp Feb to April",2025,3.3106509008338
"Bottom","yes","ssp126","Mean temp Feb to April",2026,6.0842665993551
"Bottom","yes","ssp126","Mean temp Feb to April",2027,5.44302631304684
"Bottom","yes","ssp126","Mean temp Feb to April",2028,4.20243935702558
"Bottom","yes","ssp126","Mean temp Feb to April",2029,5.57355506788221
"Bottom","yes","ssp126","Mean temp Feb to April",2030,5.808381428745
"Bottom","yes","ssp126","Mean temp Feb to April",2031,6.11324776704208
"Bottom","yes","ssp126","Mean temp Feb to April",2032,4.11652487794379
"Bottom","yes","ssp126","Mean temp Feb to April",2033,4.88566648099313
"Bottom","yes","ssp126","Mean temp Feb to April",2034,3.85555918777058
"Bottom","yes","ssp126","Mean temp Feb to April",2035,4.69593951152537
"Bottom","yes","ssp126","Mean temp Feb to April",2036,3.91434998425906
"Bottom","yes","ssp126","Mean temp Feb to April",2037,4.9840646115331
"Bottom","yes","ssp126","Mean temp Feb to April",2038,5.18663565707002
"Bottom","yes","ssp126","Mean temp Feb to April",2039,4.88594548069678
"Bottom","yes","ssp126","Mean temp Feb to April",2040,4.6010874670842
"Bottom","yes","ssp126","Mean temp Feb to April",2041,5.53242853301824
"Bottom","yes","ssp126","Mean temp Feb to April",2042,6.31510173697268
"Bottom","yes","ssp126","Mean temp Feb to April",2043,6.10858636413592
"Bottom","yes","ssp126","Mean temp Feb to April",2044,3.78419223270083
"Bottom","yes","ssp126","Mean temp Feb to April",2045,5.17256912951002
"Bottom","yes","ssp126","Mean temp Feb to April",2046,5.82112189178802
"Bottom","yes","ssp126","Mean temp Feb to April",2047,5.43219885683898
"Bottom","yes","ssp126","Mean temp Feb to April",2048,5.18122314501979
"Bottom","yes","ssp126","Mean temp Feb to April",2049,4.67573721999454
"Bottom","yes","ssp126","Mean temp Feb to April",2050,5.60351824905024
"Bottom","yes","ssp126","Mean temp Feb to April",2051,4.44740867727963
"Bottom","yes","ssp126","Mean temp Feb to April",2052,6.37351420153505
"Bottom","yes","ssp126","Mean temp Feb to April",2053,5.17796588239072
"Bottom","yes","ssp126","Mean temp Feb to April",2054,4.70948675540932
"Bottom","yes","ssp126","Mean temp Feb to April",2055,5.71219099460387
"Bottom","yes","ssp126","Mean temp Feb to April",2056,5.79705630120653
"Bottom","yes","ssp126","Mean temp Feb to April",2057,4.74400322697827
"Bottom","yes","ssp126","Mean temp Feb to April",2058,5.53588416145943
"Bottom","yes","ssp126","Mean temp Feb to April",2059,5.84731168483445
"Bottom","yes","ssp126","Mean temp Feb to April",2060,4.54792070858409
"Bottom","yes","ssp126","Mean temp Feb to April",2061,6.42373760784752
"Bottom","yes","ssp126","Mean temp Feb to April",2062,5.891167690759
"Bottom","yes","ssp126","Mean temp Feb to April",2063,4.80528614342636
"Bottom","yes","ssp126","Mean temp Feb to April",2064,4.48323800314621
"Bottom","yes","ssp126","Mean temp Feb to April",2065,4.60914638537242
"Bottom","yes","ssp126","Mean temp Feb to April",2066,4.90111528622028
"Bottom","yes","ssp126","Mean temp Feb to April",2067,5.31562889329781
"Bottom","yes","ssp126","Mean temp Feb to April",2068,5.30551286672457
"Bottom","yes","ssp126","Mean temp Feb to April",2069,4.98233297151021
"Bottom","yes","ssp126","Mean temp Feb to April",2070,5.36089430385929
"Bottom","yes","ssp126","Mean temp Feb to April",2071,3.9366931641207
"Bottom","yes","ssp126","Mean temp Feb to April",2072,5.73886053004775
"Bottom","yes","ssp126","Mean temp Feb to April",2073,4.80150748899268
"Bottom","yes","ssp126","Mean temp Feb to April",2074,6.28503785919751
"Bottom","yes","ssp126","Mean temp Feb to April",2075,5.80576295033674
"Bottom","yes","ssp126","Mean temp Feb to April",2076,4.38553558780905
"Bottom","yes","ssp126","Mean temp Feb to April",2077,4.20163290568136
"Bottom","yes","ssp126","Mean temp Feb to April",2078,4.69577846822038
"Bottom","yes","ssp126","Mean temp Feb to April",2079,4.10279387839074
"Bottom","yes","ssp126","Mean temp Feb to April",2080,5.52901906238107
"Bottom","yes","ssp126","Mean temp Feb to April",2081,5.15067816155572
"Bottom","yes","ssp126","Mean temp Feb to April",2082,5.92340807408763
"Bottom","yes","ssp126","Mean temp Feb to April",2083,6.40390397463558
"Bottom","yes","ssp126","Mean temp Feb to April",2084,3.9403572317704
"Bottom","yes","ssp126","Mean temp Feb to April",2085,3.4894764808005
"Bottom","yes","ssp126","Mean temp Feb to April",2086,4.32299125042587
"Bottom","yes","ssp126","Mean temp Feb to April",2087,5.04951298230198
"Bottom","yes","ssp126","Mean temp Feb to April",2088,5.02200853507373
"Bottom","yes","ssp126","Mean temp Feb to April",2089,5.6434112677677
"Bottom","yes","ssp126","Mean temp Feb to April",2090,5.70998934799333
"Bottom","yes","ssp126","Mean temp Feb to April",2091,4.76261704535389
"Bottom","yes","ssp126","Mean temp Feb to April",2092,4.7002786301449
"Bottom","yes","ssp126","Mean temp Feb to April",2093,5.99102499595301
"Bottom","yes","ssp126","Mean temp Feb to April",2094,5.43643787809354
"Bottom","yes","ssp126","Mean temp Feb to April",2095,5.14382343704884
"Bottom","yes","ssp126","Mean temp Feb to April",2096,4.8709834319917
"Bottom","yes","ssp126","Mean temp Feb to April",2097,6.03255196982558
"Bottom","yes","ssp126","Mean temp Feb to April",2098,5.88849249776987
"Bottom","yes","ssp126","Mean temp Feb to April",2099,5.52270358514921
"Bottom","no","ssp585","Mean temp Feb to April",1980,4.1209984321891
"Bottom","no","ssp585","Mean temp Feb to April",1981,3.43723874258903
"Bottom","no","ssp585","Mean temp Feb to April",1982,4.39060004169268
"Bottom","no","ssp585","Mean temp Feb to April",1983,4.08724286199123
"Bottom","no","ssp585","Mean temp Feb to April",1984,4.14297453019555
"Bottom","no","ssp585","Mean temp Feb to April",1985,3.58351606640016
"Bottom","no","ssp585","Mean temp Feb to April",1986,3.9152824058417
"Bottom","no","ssp585","Mean temp Feb to April",1987,3.82123892752303
"Bottom","no","ssp585","Mean temp Feb to April",1988,2.96612836361668
"Bottom","no","ssp585","Mean temp Feb to April",1989,4.1129177823488
"Bottom","no","ssp585","Mean temp Feb to April",1990,2.61642932429123
"Bottom","no","ssp585","Mean temp Feb to April",1991,2.96241506327827
"Bottom","no","ssp585","Mean temp Feb to April",1992,3.384422244662
"Bottom","no","ssp585","Mean temp Feb to April",1993,2.10761832000183
"Bottom","no","ssp585","Mean temp Feb to April",1994,3.09945377165997
"Bottom","no","ssp585","Mean temp Feb to April",1995,2.97727440907165
"Bottom","no","ssp585","Mean temp Feb to April",1996,2.2940419301722
"Bottom","no","ssp585","Mean temp Feb to April",1997,2.88268766121716
"Bottom","no","ssp585","Mean temp Feb to April",1998,4.78419760916357
"Bottom","no","ssp585","Mean temp Feb to April",1999,2.51731536249386
"Bottom","no","ssp585","Mean temp Feb to April",2000,4.69289659891464
"Bottom","no","ssp585","Mean temp Feb to April",2001,4.33297298621322
"Bottom","no","ssp585","Mean temp Feb to April",2002,5.05575818636698
"Bottom","no","ssp585","Mean temp Feb to April",2003,4.36109540294988
"Bottom","no","ssp585","Mean temp Feb to April",2004,5.00357949167929
"Bottom","no","ssp585","Mean temp Feb to April",2005,3.86319757978283
"Bottom","no","ssp585","Mean temp Feb to April",2006,3.99373239804327
"Bottom","no","ssp585","Mean temp Feb to April",2007,3.47788597394913
"Bottom","no","ssp585","Mean temp Feb to April",2008,2.54789679509402
"Bottom","no","ssp585","Mean temp Feb to April",2009,4.03210334632192
"Bottom","no","ssp585","Mean temp Feb to April",2010,4.3372929954271
"Bottom","no","ssp585","Mean temp Feb to April",2011,4.60557464205286
"Bottom","no","ssp585","Mean temp Feb to April",2012,4.66158082903471
"Bottom","no","ssp585","Mean temp Feb to April",2013,4.52717885240817
"Bottom","no","ssp585","Mean temp Feb to April",2014,3.07509990745161
"Bottom","no","ssp585","Mean temp Feb to April",2015,3.1784327084192
"Bottom","no","ssp585","Mean temp Feb to April",2016,3.69251134760422
"Bottom","no","ssp585","Mean temp Feb to April",2017,4.45556850156288
"Bottom","no","ssp585","Mean temp Feb to April",2018,4.53721834058014
"Bottom","no","ssp585","Mean temp Feb to April",2019,5.50757142593599
"Bottom","no","ssp585","Mean temp Feb to April",2020,3.98706303686849
"Bottom","no","ssp585","Mean temp Feb to April",2021,3.4056935082576
"Bottom","no","ssp585","Mean temp Feb to April",2022,4.91118435458858
"Bottom","no","ssp585","Mean temp Feb to April",2023,3.27525643760981
"Bottom","no","ssp585","Mean temp Feb to April",2024,2.39882815163052
"Bottom","no","ssp585","Mean temp Feb to April",2025,4.17462958087489
"Bottom","no","ssp585","Mean temp Feb to April",2026,5.12410435467928
"Bottom","no","ssp585","Mean temp Feb to April",2027,3.94897871427059
"Bottom","no","ssp585","Mean temp Feb to April",2028,5.53257671566524
"Bottom","no","ssp585","Mean temp Feb to April",2029,4.78136858999453
"Bottom","no","ssp585","Mean temp Feb to April",2030,4.61686033056667
"Bottom","no","ssp585","Mean temp Feb to April",2031,5.18459416485032
"Bottom","no","ssp585","Mean temp Feb to April",2032,6.01526992727508
"Bottom","no","ssp585","Mean temp Feb to April",2033,5.35369267603264
"Bottom","no","ssp585","Mean temp Feb to April",2034,3.74884757162415
"Bottom","no","ssp585","Mean temp Feb to April",2035,3.18387221962366
"Bottom","no","ssp585","Mean temp Feb to April",2036,4.99560157945794
"Bottom","no","ssp585","Mean temp Feb to April",2037,5.61996588305286
"Bottom","no","ssp585","Mean temp Feb to April",2038,6.31580858925319
"Bottom","no","ssp585","Mean temp Feb to April",2039,5.27889287704748
"Bottom","no","ssp585","Mean temp Feb to April",2040,5.93777003895182
"Bottom","no","ssp585","Mean temp Feb to April",2041,3.71286436389596
"Bottom","no","ssp585","Mean temp Feb to April",2042,4.55064749255699
"Bottom","no","ssp585","Mean temp Feb to April",2043,6.02231578599846
"Bottom","no","ssp585","Mean temp Feb to April",2044,6.18105921193196
"Bottom","no","ssp585","Mean temp Feb to April",2045,5.25286711352841
"Bottom","no","ssp585","Mean temp Feb to April",2046,4.27972703458404
"Bottom","no","ssp585","Mean temp Feb to April",2047,4.19512841521031
"Bottom","no","ssp585","Mean temp Feb to April",2048,4.59925400325518
"Bottom","no","ssp585","Mean temp Feb to April",2049,5.92760082485903
"Bottom","no","ssp585","Mean temp Feb to April",2050,5.81324926027046
"Bottom","no","ssp585","Mean temp Feb to April",2051,5.10396127671538
"Bottom","no","ssp585","Mean temp Feb to April",2052,4.90341711018913
"Bottom","no","ssp585","Mean temp Feb to April",2053,5.57188358795051
"Bottom","no","ssp585","Mean temp Feb to April",2054,5.98482205644576
"Bottom","no","ssp585","Mean temp Feb to April",2055,5.76763292777998
"Bottom","no","ssp585","Mean temp Feb to April",2056,4.85996450692575
"Bottom","no","ssp585","Mean temp Feb to April",2057,5.63418375472494
"Bottom","no","ssp585","Mean temp Feb to April",2058,4.55935159198826
"Bottom","no","ssp585","Mean temp Feb to April",2059,6.25524255278788
"Bottom","no","ssp585","Mean temp Feb to April",2060,4.90531476499144
"Bottom","no","ssp585","Mean temp Feb to April",2061,6.71527730310766
