"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1977,185.777,1036.49,7831.36,26863.9,75699.4,43687.8,31876.6,22425.5,16092.8,11878.7,22004.5
1978,61.6853,5486.53,11744.5,18012.9,36409.4,78838.5,38943.7,25708.4,16888.5,11537.2,23238.3
1979,57.7709,1821.74,62166.9,26977,24095.1,36672.1,67276.3,29998.5,18485.9,11560.1,22624.8
1980,102.155,1706.14,20642.1,142865,36032,24000.9,30762,50865.2,21166.2,12415.6,21870.3
1981,110.035,3016.92,19332.1,47408.3,189114,34406.5,18515.3,20932.5,32072.7,12678.7,19710.8
1982,148.613,3249.64,34184.6,44391.2,62431.5,181597,27583.8,13360.1,14093.4,20554.6,20135.5
1983,106.864,4388.96,36820.9,78448.6,58638.6,61072.7,149970,20569.4,9302.1,9341.66,27168.5
1984,142.198,3156.01,49731.2,84639.4,104133,56809.1,49351.4,109076,13960.2,6009.51,21831.9
1985,139.305,4199.51,35760.7,114338,113389,104633,48019.5,37472.6,77170.9,9396.89,17096.8
1986,97.0961,4114.08,47584.3,82242.6,154759,117295,91760.3,37695.5,27221,53028.2,17329.8
1987,103.619,2867.53,46610.9,109242,110702,158806,101690,70808.9,26778.2,18230.3,50950.8
1988,104.047,3060.18,32491.5,107052,145932,111219,134894,77828.7,50554.6,18198.2,43643.4
1989,109.425,3072.8,34674.7,74673,143266,146693,94572.8,103464,55720.6,34463.9,39575.1
1990,123.75,3231.63,34809.1,79395.9,99129.9,142790,123255,71499.2,72939.3,37384.7,49393.3
1991,90.9382,3654.68,36616.4,79972.8,106426,98775,115981,87136.3,46265,44577.8,51977.3
1992,67.5806,2685.67,41409.8,84116.3,107046,105261,78878.7,80089.2,54972.1,27580.8,57091.2
1993,57.3337,1995.85,30430.2,95117.7,112393,104945,82413.8,52957.7,48927.2,31687.7,46219.5
1994,66.9612,1693.23,22614.4,69928,127664,112114,85127.2,58145.5,34259.7,29967.5,46535.1
1995,85.4618,1977.56,19185.6,51977.9,94054.4,128421,92535.3,61535,38672.6,21601.5,46826.6
1996,63.6376,2523.93,22407,44081.2,69612.8,92785.7,101566,63031.7,38315.9,22806.7,38248.5
1997,57.7344,1879.4,28597.7,51469.4,58907.2,68226.4,72540.8,68079.4,38486.8,22106.7,33974.9
1998,54.2957,1705.06,21294.6,65662.4,68436.9,56413.2,50690.1,45295.8,38432.5,20512,29100.2
1999,80.5246,1603.51,19319.2,48889.1,87130.4,64703.7,40636.5,30324.5,24436.2,19610.5,24915.7
2000,78.9456,2378.12,18168.5,44346,64563.7,79782.4,43099.2,21807,14582.4,11168.5,20435.7
2001,47.3925,2331.49,26945.5,41723.7,58816.1,60070.3,54881.3,24178.5,11026.1,7020.91,14864.8
2002,41.1366,1399.64,26417.1,61880.3,55465,55826,43502.6,33048.3,13143.3,5672.55,10751.3
2003,48.2272,1214.88,15858.8,60675.4,82206.9,52110.9,39314.2,25178,17226.2,6495.95,7850.99
2004,47.0002,1424.29,13765.4,36429,80713.8,77575.7,36996.7,23031.7,13336.1,8678.61,7262.2
2005,85.4324,1388.05,16138.2,31624.4,48487.6,76069.3,54749.8,21500.3,12119.1,6692.1,8297.35
2006,117.02,2523.06,15727.8,37100.4,42329.1,46654.2,56023.1,33611.4,11940.1,6381.03,7875.86
2007,85.0266,3455.95,28588.6,36154.7,49555.9,40279.1,33584.1,33419,18127.7,6113.8,7304.39
2008,125.236,2511.08,39156.2,65598.3,47732.4,45434.6,27057.4,18452.4,16709.8,8708.1,6564.36
2009,67.9195,3698.56,28449.6,89741.2,85746.9,42174.5,28371.1,13498.1,8308.69,7222.82,6973.4
2010,82.1979,2005.86,41905.3,65288,118428,78251.6,28015.7,15329.5,6609.48,3896.75,6869.46
2011,127.289,2427.54,22726.2,96102.9,85626.4,105221,49093.8,14026.4,6926.9,2868.31,4638.34
2012,185.885,3759.2,27504.7,52166.7,126776,77023.2,67006.9,25004.7,6475.23,3085.37,3360.73
2013,113.815,5489.73,42592.5,63127,68981,116789,52191.8,37216,12638,3141.4,3202.46
2014,37.6279,3361.29,62199.5,97756.7,83696.5,64818.7,83094.6,31021.2,20220.5,6576.72,3379.07
2015,44.5599,803.33,27530,103092,92651.1,53983.1,29785.9,30670.8,10360.8,6489.56,3466.12
2016,43.3611,951.322,6579.44,45608.3,96938,56954.7,22129.4,9405.1,8699.07,2846.86,3002.59
2017,46.9079,925.73,7791.65,10905.2,43006.1,59753.7,23277.6,6948.86,2662.58,2399.89,1705.17
2018,33.3282,1385.32,10488.3,17865.6,14281.3,38125.7,36723.5,10812.9,2727.74,951.842,1488.49
2019,27.4142,984.277,15696.6,24104.4,23993.2,14204.4,30463.5,25131.4,6701.33,1587.55,1368.9
2020,29.9181,809.619,11152.4,36068.9,32340.5,23797.4,11293.5,20709,15456.5,3868.53,1726.36
2021,34.6753,883.568,9173.54,25638.1,48687.3,33081.4,20352.6,8560.01,14483.7,10234.7,3948.04
2022,33.9186,1024.06,10011.3,21077.7,34373,48197.2,26230.9,13794.5,5248.55,8335.21,8747.34
2023,65.6204,1001.71,11603,22993.9,28155,33501.2,36928.1,16912.2,7976.24,2837.38,9175.36
2024,76.7646,1937.96,11349.9,26657.4,30794.8,27744.6,26308.9,24691.1,10208.4,4514.81,6203.95
2025,82.6314,2267.08,21958,26074.5,35664.3,30161,21455.8,17182.6,14492.7,5607.85,5724.97
2026,82.6314,2440.34,25686.3,50386.8,34437.2,32923.9,20599.4,11940.9,8570.73,6834.66,5412.37
2027,82.6314,2440.34,27649.6,58955.2,66709.5,32141.9,23029.3,11849.1,6178.18,4195.11,6187.32
2028,82.6314,2440.34,27649.4,63444.5,77826.2,61450.7,21849.6,12733.6,5867.99,2892.34,4782.44
2029,82.6314,2440.34,27648.9,63403.5,83168.1,69466.1,39006.7,10988.1,5676.72,2468.71,3156.85
2030,82.6314,2440.34,27648.7,63390.6,82945.9,73558.6,43227.1,19084.2,4751.5,2315.37,2289.89
2031,82.6314,2440.34,27648.7,63390.3,82929,73362.1,45773.8,21149.1,8252.45,1938,1912.51
2032,82.6314,2440.34,27648.7,63390.3,82928.6,73347.1,45651.5,22395.1,9145.35,3365.94,1599.34
2033,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45642.2,22335.2,9684.14,3730.13,2174.03
2034,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45641.9,22330.7,9658.26,3949.88,2550.04
2035,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45641.9,22330.6,9656.29,3939.33,2787.18
2036,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45641.9,22330.6,9656.24,3938.53,2865.24
2037,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45641.9,22330.6,9656.24,3938.51,2892.22
2038,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45641.9,22330.6,9656.24,3938.51,2901.67
2039,82.6314,2440.34,27648.7,63390.3,82928.6,73346.7,45641.9,22330.6,9656.24,3938.51,2904.98
