"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20"
1966,1117340,1412920,719452,453009,297757,201734,152588,124111,104588,89319.4,76576.3,65693.8,56174.4,47928.8,40767,34477.4,29055.8,24391.3,20404.1,17016.1,61429.8
1967,2992440,915656,1155680,576811,351320,224668,149453,106356,86506.9,72899,62256.8,53374.7,45789.4,39154.3,33407,28415.1,24031.2,20252.3,17001.1,14222,54677.8
1968,1841810,2452300,747901,911663,429457,249381,154479,92419.2,65768.5,53494.2,45079.4,38498.4,33005.9,28315.3,24212.3,20658.3,17571.4,14860.4,12523.6,10513.1,42606.3
1969,599594,1509360,2005710,599201,705776,323190,184160,107120,64085.9,45605.6,37094.3,31259.2,26695.8,22887.2,19634.6,16789.4,14325,12184.5,10304.6,8684.22,36834.4
1970,5044900,491365,1233530,1592550,453503,513442,228988,119496,69507.1,41583.7,29592.3,24069.5,20283.3,17322.2,14850.9,12740.4,10894.2,9295.11,7906.17,6686.4,29535.9
1971,587696,4134280,401342,973045,1185630,321880,352989,141572,73878.8,42972.9,25709.2,18295.5,14881,12540.2,10709.5,9181.59,7876.76,6735.38,5746.72,4888.01,22394.5
1972,348621,481615,3381290,321441,752675,891149,237340,244180,97932.7,51105.7,29726.5,17784.3,12655.9,10294,8674.67,7408.3,6351.36,5448.75,4659.2,3975.3,18872.7
1973,3314660,285694,394150,2728210,253309,581703,679829,173389,178387,71545.1,37335.5,21716.8,12992.4,9245.83,7520.3,6337.32,5412.17,4640.02,3980.61,3403.8,16691.7
1974,261620,2716360,233767,317357,2138660,194233,439512,489043,124730,128325,51466.8,26857.7,15622.3,9346.25,6651.09,5409.81,4558.82,3893.3,3337.85,2863.5,14455.9
1975,1041060,214397,2221870,187472,246291,1615400,144081,306977,341572,87117.5,89628.4,35947,18758.8,10911.4,6527.89,4645.46,3778.48,3184.11,2719.28,2331.32,12096.7
1976,156028,853142,175419,1787870,146730,188408,1217030,103169,219811,244582,62380.3,64178.2,25739.8,13432.2,7813.06,4674.28,3326.37,2705.58,2279.98,1947.13,10331.2
1977,3964260,127865,698226,141587,1410150,113549,143962,891402,75565.6,160999,179142,45690,47006.9,18852.9,9838.31,5722.63,3423.65,2436.38,1981.68,1669.95,8993.17
1978,102506,3248700,104696,566607,113199,1113650,88941.9,109725,679411,57594.8,122711,136539,34824.2,35827.9,14369.4,7498.59,4361.69,2609.44,1856.97,1510.4,8127.25
1979,850951,84003.1,2660260,85043.8,454130,89731,876284,68286,84242.6,521625,44219,94212.2,104829,26736.6,27507.2,11032.2,5757.12,3348.73,2003.43,1425.7,7399.41
1980,11460600,697352,68780.3,2158250,67950.5,358310,70205.3,666670,51951.4,64091.1,396848,33641.5,71675.9,79753.4,20341,20927.3,8393.24,4379.97,2547.69,1524.19,6714.07
1981,187027,9391920,571093,55929.3,1734450,54079.3,283322,54325.7,515878,40200.7,49594.5,307086,26032.2,55463.7,61714.2,15740.1,16193.8,6494.79,3389.28,1971.43,6374.87
1982,191830,153268,7688300,462190,44413,1355910,41836.6,211681,40588.9,385432,30035.5,37054,229436,19449.7,41439.1,46109,11760,12099,4852.51,2532.26,6235.85
1983,354693,157204,125496,6239390,369579,35082.7,1062360,31901.5,161412,30950.1,293902,22902.8,28254.6,174951,14830.9,31598.4,35159.3,8967.34,9225.8,3700.17,6685.91
1984,9532250,290670,128738,102014,5009920,293757,27697,820004,24623.8,124589,23889.4,226854,17678,21808.8,135039,11447.5,24389.8,27138.4,6921.6,7121.1,8016.68
1985,101068,7811650,238022,104577,81770.4,3971800,231182,21270.2,629730,18910,95679.1,18346.1,174214,13576,16748.3,103704,8791.19,18730.4,20841.2,5315.51,11625.2
1986,143190,82824.6,6397680,193679,84184,65242.7,3150270,179780,16540.8,489712,14705.5,74405.3,14266.9,135479,10557.4,13024.4,80646.1,6836.51,14565.7,16207.2,13174
1987,4589620,117344,67812.1,5187580,154540,66285.6,50918.2,2387100,136227,12533.7,371077,11143,56380.2,10810.7,102658,7999.82,9869.16,61109.2,5180.33,11037.1,22263.5
1988,1607490,3761180,96056.2,54866.3,4116670,120690,51217.1,37968.5,1780010,101581,9346.13,276703,8309.08,42041.4,8061.26,76549.9,5965.28,7359.2,45567.7,3862.85,24831.5
1989,116566,1317340,3078660,77660.3,43457.9,3205930,92933.1,37980.7,28156.1,1319990,75329.1,6930.75,205193,6161.71,31176.4,5977.94,56766.6,4423.64,5457.32,33791.4,21278.7
1990,3104990,95525.8,1077810,2476300,60721.5,33194.1,2410860,66347.6,27115.5,20101.4,942378,53779.6,4948.06,146493,4399.02,22257.7,4267.82,40527.3,3158.16,3896.13,39316.1
1991,979659,2544530,78187.8,870934,1958790,47193.8,25497.8,1780840,49009.3,20029.5,14848.4,696111,39725.6,3655,108211,3249.45,16441.2,3152.53,29936.5,2332.85,31919.8
1992,120712,802827,2081850,61347.2,600359,1481810,35196.8,18516.9,1293270,35591.4,14545.8,10783.2,505528,28849.4,2654.33,78584.6,2359.8,11939.9,2289.42,21740.4,24874.8
1993,2415030,98922.7,656949,1678230,44254.4,425744,1111390,24577.2,12930,903068,24852.7,10157,7529.67,353000,20145,1853.46,54874,1647.8,8337.39,1598.66,32550.5
1994,2498010,1979110,80998.2,533268,1279680,32246.9,305397,811541,17946.4,9441.55,659424,18147.6,7416.71,5498.2,257762,14709.9,1353.41,40069.2,1203.23,6087.99,24935.8
1995,1023270,2047110,1620600,65717.1,424430,909589,22842.7,190783,506974,11211.2,5898.18,411945,11336.9,4633.26,3434.75,161025,9189.37,845.48,25031.5,751.665,19380.7
1996,1438360,838568,1676070,1318860,52614.5,331403,634656,15110.6,126204,335367,7416.29,3901.69,272505,7499.43,3064.93,2272.11,106519,6078.84,559.291,16558.5,13317.7
1997,746111,1178730,685221,1283220,982408,39112.9,244376,392872,9353.96,78124.5,207603,4590.92,2415.27,168689,4642.39,1897.29,1406.51,65938.9,3762.99,346.219,18494.3
1998,1502390,611436,965156,555631,897383,663871,27915.6,151047,242831,5781.6,48288.1,128318,2837.61,1492.86,104265,2869.42,1172.7,869.353,40756.3,2325.88,11645.2
1999,9784710,1231200,500115,767999,348726,620846,384786,17235.3,93257.4,149925,3569.6,29813.4,79224,1751.96,921.7,64374.1,1771.6,724.032,536.744,25163.2,8625.82
2000,295616,8018540,1006910,363758,505377,196200,386705,230113,10307.2,55770.4,89659.5,2134.72,17829.2,47378.1,1047.72,551.202,38497.5,1059.46,432.991,320.987,20206.7
2001,927183,242256,6567770,813270,266002,367618,132620,238633,142001,6360.47,34415.5,55328.1,1317.32,11002.3,29236.7,646.539,340.142,23756.5,653.786,267.195,12667.5
2002,38698.9,759824,198371,5330840,610521,175090,248489,86512.4,155668,92631.7,4149.14,22450.4,36092.3,859.328,7177.14,19072,421.759,221.886,15497.1,426.486,8437.72
2003,1323120,31713.6,622427,161800,4236000,453665,121423,178400,62110.7,111760,66503.9,2978.83,16118,25912.1,616.946,5152.75,13692.6,302.797,159.301,11126,6363.96
2004,39122.4,1084290,25982.4,508547,130170,3257840,331045,87323.7,128300,44668.2,80374.7,47827.7,2142.29,11591.6,18635.3,443.69,3705.71,9847.3,217.763,114.564,12578.3
2005,2095330,32060.7,887617,20911.3,384663,79005.7,2297910,221298,58374.4,85766.5,29860,53729.1,31972,1432.09,7748.79,12457.4,296.599,2477.21,6582.75,145.571,8484.95
2006,1608750,1717120,26257.2,722205,16454.4,271076,46841.5,1481450,142670,37633.7,55293.3,19250.6,34638.9,20612.2,923.26,4995.61,8031.21,191.216,1597.04,4243.87,5564.06
2007,21821.2,1318370,1403850,20097.8,517594,11000.1,161939,28039,886787,85401.2,22527.3,33098.1,11523.3,20734.6,12338.3,552.656,2990.33,4807.42,114.461,955.978,5870.96
2008,4221130,17882.4,1078420,1090960,13267.7,339003,7345.08,94289.6,16325.8,516336,49725.3,13116.6,19271.6,6709.47,12072.8,7184.05,321.787,1741.14,2799.14,66.6452,3975.02
2009,1113570,3459200,14586.1,838956,719063,8941.66,197893,3922.3,50351,8718.05,275725,26553.5,7004.32,10291.1,3582.88,6446.93,3836.31,171.835,929.774,1494.75,2158.26
2010,11814600,912570,2832270,11710.9,596113,497396,6296.38,123599,2449.78,31448.1,5445.09,172212,16584.7,4374.74,6427.57,2237.79,4026.61,2396.07,107.324,580.715,2281.59
2011,337135,9682060,747127,2207820,8290.93,318302,306739,4192.04,82290.7,1631.03,20937.7,3625.27,114656,11041.9,2912.64,4279.39,1489.89,2680.86,1595.27,71.4551,1905.68
2012,1148500,276281,7915230,592333,1257520,5561.29,215989,215049,2938.97,57692.6,1143.49,14679,2541.61,80383.4,7741.25,2042,3000.21,1044.53,1879.5,1118.42,1386.14
2013,308235,941192,225838,6281670,438451,838198,3994.31,154824,154151,2106.7,41354.9,819.668,10522.2,1821.87,57620.1,5549.05,1463.74,2150.59,748.739,1347.26,1795.3
2014,6543420,252598,770698,182935,4729220,328082,614183,2665.09,103302,102853,1405.64,27593,546.902,7020.64,1215.59,38445.5,3702.46,976.64,1434.93,499.576,2096.79
2015,43979.5,5362310,206702,614474,132698,3539000,240648,421494,1828.97,70893.1,70584.6,964.643,18936.2,375.321,4818.04,834.221,26383.9,2540.88,670.236,984.743,1781.8
2016,4518030,36041.1,4380690,166528,474854,99140.5,2637550,182325,319341,1385.7,53711.5,53477.8,730.854,14346.8,284.359,3650.34,632.041,19989.5,1925.07,507.799,2096.05
2017,1810690,3702510,29173.3,3172900,124946,345194,70371.1,1884170,130246,228125,989.893,38369.5,38202.6,522.095,10248.8,203.135,2607.67,451.506,14279.8,1375.2,1860.09
2018,547256,1483850,3001410,21723.7,2284420,86271.1,242214,45766.1,1225380,84706.1,148362,643.781,24953.8,24845.2,339.546,6665.37,132.11,1695.91,293.639,9286.9,2104.08
2019,738207,448475,1173880,2237790,16056.8,1659330,63703,159685,30172.3,807855,55844.3,97810.9,424.426,16451.3,16379.7,223.853,4394.28,87.0961,1118.06,193.588,7509.75
2020,4244830,604959,366678,879371,1672110,11715.5,1130870,41133.1,103109,19482.3,521633,36058.7,63156.6,274.052,10622.6,10576.4,144.542,2837.39,56.2381,721.935,4974.05
2021,783935,3478620,495532,298934,691981,1126110,8376.12,730339,26564.6,66589.8,12582.1,336882,23287.5,40787.9,176.989,6860.31,6830.46,93.3484,1832.45,36.3197,3678.59
2022,773497,642432,2846520,402721,238526,516545,737705,5449.88,475192,17284.2,43326.3,8186.46,219191,15151.9,26538.5,115.157,4463.63,4444.21,60.7367,1192.28,2417.09
2023,777745,633878,517667,2120640,290715,156300,327209,417030,3080.86,268630,9770.87,24492.7,4627.87,123910,8565.49,15002.4,65.0992,2523.33,2512.35,34.335,2040.4
2024,766539,637360,510723,385442,1529700,190247,98859.1,184570,235235,1737.83,151527,5511.48,13815.7,2610.46,69894.3,4831.56,8462.44,36.7207,1423.34,1417.15,1170.3
2025,741898,628176,512886,377590,275428,984567,118052,54247.5,101280,129082,953.609,83148.1,3024.34,7581.15,1432.45,38353.5,2651.25,4643.64,20.1499,781.036,1419.82
